date,vsiax,vsgx
9/27/11,21.394535,22.463772
10/3/11,21.726162,23.094669
10/10/11,23.348454,25.006479
10/17/11,23.133343,24.366024
10/24/11,25.10519,26.803583
10/31/11,24.612228,26.392544
11/7/11,24.621191,26.239599
11/14/11,23.814526,25.178543
11/21/11,22.281864,23.543943
11/28/11,24.31645,25.847677
12/5/11,24.58534,26.124889
12/12/11,23.922083,25.140306
12/19/11,24.875181,25.985676
12/27/11,24.664761,25.803286
1/3/12,25.07645,26.072071
1/9/12,25.506435,26.552042
1/17/12,26.174288,27.291201
1/23/12,26.585978,27.857567
1/30/12,27.509991,28.942303
2/6/12,27.043409,28.500729
2/13/12,27.592329,29.057497
2/21/12,27.418505,29.153492
2/27/12,26.832991,28.519926
3/5/12,27.198936,28.923103
3/12/12,27.757006,29.316681
3/19/12,27.568481,29.252367
3/26/12,27.660009,29.367573
4/2/12,27.293894,29.002756
4/9/12,26.616581,28.349932
4/16/12,27.019308,28.589941
4/23/12,27.660009,29.377172
4/30/12,26.671497,28.263529
5/7/12,26.625734,28.061918
5/14/12,25.133814,26.429855
5/21/12,25.792822,27.255487
5/29/12,24.950756,26.055439
6/4/12,25.866045,27.197886
6/11/12,25.902657,27.265087
6/18/12,25.957575,27.418694
6/25/12,26.790485,28.253927
7/2/12,27.138294,28.465136
7/9/12,27.037615,28.186726
7/16/12,26.753874,27.946716
7/23/12,26.854557,28.292328
7/30/12,26.827097,27.917913
8/6/12,27.211517,28.56114
8/13/12,27.678316,29.223566
8/20/12,27.40373,28.925953
8/27/12,27.476952,29.021957
9/4/12,28.45631,30.087601
9/10/12,29.307529,30.788427
9/17/12,28.840733,30.375612
9/24/12,28.273252,29.789989
10/1/12,28.61191,29.943596
10/8/12,28.016973,29.204365
10/15/12,28.200029,29.194765
10/22/12,27.925444,28.858751
10/31/12,28.163418,29.021957
11/5/12,27.486105,28.551538
11/12/12,26.872862,28.004318
11/19/12,27.897984,29.127562
11/26/12,28.346476,29.540379
12/3/12,28.465464,29.482775
12/10/12,28.502075,29.501976
12/17/12,29.298376,30.251642
12/24/12,28.782064,29.727888
12/31/12,30.406101,31.337948
1/7/13,30.302837,31.483433
1/14/13,30.744051,31.99749
1/22/13,31.166491,32.52124
1/28/13,31.476274,32.52124
2/4/13,31.664026,32.783119
2/11/13,32.114624,32.967407
2/19/13,31.851776,32.657028
2/25/13,31.739128,32.647331
3/4/13,32.612164,33.772434
3/11/13,33.090927,34.082806
3/18/13,32.939789,33.873299
3/25/13,33.183926,34.115807
4/1/13,32.395172,33.01968
4/8/13,33.014908,33.834503
4/15/13,32.019577,32.689873
4/22/13,32.733212,33.504692
4/29/13,33.390503,34.261311
5/6/13,34.094749,35.144035
5/13/13,34.80838,35.910358
5/20/13,34.254375,35.386543
5/28/13,34.198032,35.415642
6/3/13,34.169865,35.473846
6/10/13,33.963287,35.29924
6/17/13,33.127586,34.484417
6/24/13,33.803658,35.134338
7/1/13,34.592411,36.230465
7/8/13,35.587742,37.336296
7/15/13,36.047848,37.578804
7/22/13,36.029064,37.442997
7/29/13,36.536121,38.219021
8/5/13,36.141747,37.85041
8/12/13,35.315434,36.880383
8/19/13,35.61591,37.501198
8/26/13,34.545464,36.763981
9/3/13,35.052517,37.569099
9/9/13,35.822491,38.529427
9/16/13,36.367104,39.092041
9/23/13,36.404663,39.101742
9/30/13,36.63002,39.431553
10/7/13,36.855377,39.237545
10/14/13,37.775589,40.323975
10/21/13,38.104237,40.576183
10/28/13,37.831928,39.906864
11/4/13,37.8601,39.838963
11/11/13,38.536171,40.731388
11/18/13,38.695801,40.692585
11/25/13,38.949326,40.954491
12/2/13,38.817867,40.741085
12/9/13,38.254475,39.906864
12/16/13,39.296753,41.293999
12/23/13,39.854488,41.807564
12/30/13,39.720554,41.788036
1/6/14,40.064953,42.266453
1/13/14,40.074516,42.383614
1/21/14,39.089157,41.583004
1/27/14,38.88826,41.485371
2/3/14,38.649097,41.221752
2/10/14,39.768387,42.471489
2/18/14,40.064953,43.13541
2/24/14,40.839848,43.604061
3/3/14,41.423409,44.141056
3/10/14,40.772881,43.223282
3/17/14,41.442543,43.4869
3/24/14,40.706688,41.97826
3/31/14,41.204277,41.86108
4/7/14,39.912457,40.308502
4/14/14,40.869358,41.39238
4/21/14,40.706688,40.826031
4/28/14,41.051174,41.197083
5/5/14,40.735394,40.230385
5/12/14,40.57272,40.308502
5/19/14,41.166,41.089676
5/27/14,41.567898,41.324024
6/2/14,42.687477,42.398136
6/9/14,42.467388,42.407902
6/16/14,43.185066,43.442959
6/23/14,43.223339,43.540604
6/30/14,43.816624,44.116718
7/7/14,42.697044,42.612961
7/14/14,42.706615,42.349316
7/21/14,42.400406,42.407902
7/28/14,41.24255,41.245911
8/4/14,41.663589,41.675552
8/11/14,42.228165,42.144257
8/18/14,43.031963,42.92543
8/25/14,43.443432,43.442959
9/2/14,43.491276,43.286724
9/8/14,42.974548,42.964489
9/15/14,42.697044,42.730133
9/22/14,41.625313,41.743908
9/29/14,40.974617,41.245911
10/6/14,39.29047,39.058624
10/13/14,39.941166,39.820267
10/20/14,41.491348,41.314262
10/27/14,43.031963,42.944958
11/3/14,43.290329,42.92543
11/10/14,43.26162,43.042606
11/17/14,43.510414,43.335545
11/24/14,43.491276,43.325779
12/1/14,43.749641,43.247665
12/8/14,42.352558,42.046612
12/15/14,43.832329,43.59227
12/22/14,44.562706,44.085396
12/29/14,44.095264,43.562679
1/5/15,43.403843,43.513371
1/12/15,43.014309,43.168182
1/20/15,43.54018,43.809242
1/26/15,42.770851,43.286533
2/2/15,44.328987,44.548931
2/9/15,44.952244,45.476009
2/17/15,45.302822,45.978996
2/23/15,45.224915,45.870506
3/2/15,44.552971,45.347797
3/9/15,44.786694,45.67326
3/16/15,46.08189,47.034283
3/23/15,45.266216,45.998543
3/30/15,45.909393,46.412853
4/6/15,46.11404,46.93568
4/13/15,45.67551,46.462177
4/20/15,46.192005,47.103374
4/27/15,45.519588,45.761791
5/4/15,45.568314,46.146511
5/11/15,45.977612,46.580555
5/18/15,46.192005,46.955406
5/26/15,45.811939,46.649605
6/1/15,45.870415,47.014595
6/8/15,46.026337,47.054054
6/15/15,46.367416,47.764301
6/22/15,46.182259,47.320396
6/29/15,45.236977,46.442451
7/6/15,45.120037,46.541096
7/13/15,45.344173,47.073784
7/20/15,43.999348,46.077457
7/27/15,44.700996,46.797573
8/3/15,44.106541,45.673012
8/10/15,44.564564,45.919624
8/17/15,42.420631,43.571854
8/24/15,42.644768,43.907249
8/31/15,41.572803,42.743233
9/8/15,42.36216,43.552128
9/14/15,42.36216,43.867794
9/21/15,41.542519,42.151688
9/28/15,41.5228,41.854073
10/5/15,43.612743,43.490936
10/12/15,43.386002,43.233009
10/19/15,43.72118,43.014759
10/26/15,43.750759,43.004837
11/2/15,44.559132,44.076237
11/9/15,42.686069,42.231049
11/16/15,43.800049,43.381813
11/23/15,44.460548,44.284565
11/30/15,43.8592,43.65958
12/7/15,41.769257,41.854073
12/14/15,41.384785,41.863995
12/21/15,42.782272,42.990524
12/28/15,42.17635,42.552357
1/4/16,39.375187,39.395535
1/11/16,38.07394,37.792229
1/19/16,38.411667,38.449486
1/25/16,39.454655,38.698444
2/1/16,38.431534,36.83622
2/8/16,37.845474,35.920044
2/16/16,39.047394,37.652813
2/22/16,40.120178,38.90757
2/29/16,42.156483,40.530796
3/7/16,42.533943,40.660255
3/14/16,43.308594,41.131901
3/21/16,42.690468,40.433903
3/28/16,43.707386,41.899696
4/4/16,42.869926,41.441013
4/11/16,44.215839,42.358376
4/18/16,44.74424,42.906803
4/25/16,44.554813,42.268635
5/2/16,44.185932,41.730179
5/9/16,43.617657,41.431038
5/16/16,43.856934,41.869781
5/23/16,45.063271,43.235859
5/31/16,45.481998,43.754372
6/6/16,45.481998,43.535
6/13/16,44.880001,42.93
6/20/16,44.139999,42.41
6/27/16,45.389999,43.720001
7/5/16,45.849998,44.599998
7/11/16,46.950001,45.16
7/18/16,47.18,45.650002
7/25/16,47.360001,45.98
8/1/16,47.529999,46.110001
8/8/16,47.389999,46.139999
8/15/16,47.689999,46.18
8/22/16,47.549999,46.150002
8/29/16,48.110001,46.740002
9/6/16,46.830002,45.43
9/12/16,46.650002,45.630001