date,vix
199002,21.99
199003,19.73
199004,19.52
199005,17.37
199006,15.5
199007,21.11
199008,29.9
199009,29.11
199010,30.04
199011,22.16
199012,26.38
199101,20.91
199102,21.23
199103,16.88
199104,18.24
199105,15.93
199106,19.55
199107,15.18
199108,14.46
199109,15.85
199110,15.48
199111,20.26
199112,19.31
199201,17.4
199202,16.68
199203,16.18
199204,15.53
199205,13.86
199206,13.35
199207,13.17
199208,13.58
199209,14.28
199210,16.15
199211,13.01
199212,12.57
199301,12.42
199302,13.16
199303,12.53
199304,12.42
199305,13.47
199306,11.26
199307,11.73
199308,11.85
199309,12.99
199310,11.46
199311,13.76
199312,11.66
199401,10.63
199402,14.87
199403,20.45
199404,13.77
199405,13.03
199406,14.97
199407,11.13
199408,11.97
199409,14.28
199410,14.56
199411,15.95
199412,13.2
199501,11.96
199502,11.75
199503,13.37
199504,11.75
199505,12.85
199506,11.38
199507,13.49
199508,11.52
199509,12.74
199510,13.83
199511,11.58
199512,12.52
199601,12.53
199602,17.04
199603,18.88
199604,15.83
199605,16.07
199606,13.68
199607,19.46
199608,17.01
199609,16.95
199610,18.11
199611,17.14
199612,20.92
199701,19.47
199702,21.1
199703,22.14
199704,20.06
199705,19.19
199706,21.53
199707,21.48
199708,24.76
199709,22.91
199710,35.09
199711,27.43
199712,24.01
199801,21.47
199802,18.55
199803,24.22
199804,21.18
199805,21.32
199806,19.71
199807,24.8
199808,44.28
199809,40.95
199810,28.05
199811,26.01
199812,24.42
199901,26.25
199902,27.88
199903,23.26
199904,25.07
199905,25.39
199906,21.09
199907,24.64
199908,24.45
199909,25.41
199910,22.2
199911,24.18
199912,24.64
200001,24.95
200002,23.37
200003,24.11
200004,26.2
200005,23.65
200006,19.54
200007,20.74
200008,16.84
200009,20.57
200010,23.63
200011,29.65
200012,26.85
200101,22.02
200102,28.35
200103,28.64
200104,25.48
200105,22.64
200106,19.06
200107,21.62
200108,24.92
200109,31.93
200110,33.56
200111,23.84
200112,23.8
200201,21.09
200202,21.59
200203,17.4
200204,21.91
200205,19.98
200206,25.4
200207,32.03
200208,32.64
200209,39.69
200210,31.14
200211,27.5
200212,28.62
200301,31.17
200302,29.63
200303,29.15
200304,21.21
200305,19.47
200306,19.52
200307,19.49
200308,18.63
200309,22.72
200310,16.1
200311,16.32
200312,18.31
200401,16.63
200402,14.55
200403,16.74
200404,17.19
200405,15.5
200406,14.34
200407,15.32
200408,15.29
200409,13.34
200410,16.27
200411,13.24
200412,13.29
200501,12.82
200502,12.08
200503,14.02
200504,15.31
200505,13.29
200506,12.04
200507,11.57
200508,12.6
200509,11.92
200510,15.32
200511,12.06
200512,12.07
200601,12.95
200602,12.34
200603,11.39
200604,11.59
200605,16.44
200606,13.08
200607,14.95
200608,12.31
200609,11.98
200610,11.1
200611,10.91
200612,11.56
200701,10.42
200702,15.42
200703,14.64
200704,14.22
200705,13.05
200706,16.23
200707,23.52
200708,23.38
200709,18
200710,18.53
200711,22.87
200712,22.5
200801,26.2
200802,26.54
200803,25.61
200804,20.79
200805,17.83
200806,23.95
200807,22.94
200808,20.65
200809,39.39
200810,59.89
200811,55.28
200812,40
200901,44.84
200902,46.35
200903,44.14
200904,36.5
200905,28.92
200906,26.35
200907,25.92
200908,26.01
200909,25.61
200910,30.69
200911,24.51
200912,21.68
201001,24.62
201002,19.5
201003,17.59
201004,22.05
201005,32.07
201006,34.54
201007,23.5
201008,26.05
201009,23.7
201010,21.2
201011,23.54
201012,17.75
201101,19.53
201102,18.35
201103,17.74
201104,14.75
201105,15.45
201106,16.52
201107,25.25
201108,31.62
201109,42.96
201110,29.96
201111,27.8
201112,23.4
201201,19.44
201202,18.43
201203,15.5
201204,17.15
201205,24.06
201206,17.08
201207,18.93
201208,17.47
201209,15.73
201210,18.6
201211,15.87
201212,18.02
201301,14.28
201302,15.51
201303,12.7
201304,13.52
201305,16.3
201306,16.86
201307,13.45
201308,17.01
201309,16.6
201310,13.75
201311,13.7
201312,13.72
201401,18.41
201402,14
201403,13.88
201404,13.41
201405,11.4
201406,11.57
201407,16.95
201408,12.09
201409,16.31
201410,14.03
201411,13.33
201412,19.2
201501,20.97
201502,13.34
201503,15.29
201504,14.55
201505,13.84
201506,18.23
201507,12.12
201508,28.43
201509,24.5
201510,15.07
201511,16.13
201512,18.21
201601,20.2
201602,20.55
201603,13.95
201604,15.7
201605,14.19
201606,15.63
201607,11.87
201608,13.42
201609,13.29
201610,17.06
201611,13.33
201612,14.04
201701,11.99
201702,12.92
201703,12.37
201704,10.82
201705,10.41
201706,11.18
201707,10.26
201708,10.59
201709,9.51
201710,10.18
201711,11.28
201712,11.04
201801,13.54
201802,19.85
201803,19.97
201804,15.93
201805,15.43
201806,16.09
201807,12.83
201808,12.86
201809,12.12
201810,21.23
201811,18.07
201812,25.42
201901,16.57
201902,14.78
201903,13.71
201904,13.12
201905,18.71
201906,15.08
201907,16.12
201908,18.98
201909,16.24
201910,13.22
201911,12.62
201912,13.78
202001,18.84
202002,40.11
202003,53.54
202004,34.15
202005,27.51
202006,30.43
202007,24.46
202008,26.41
202009,26.37
202010,38.02
202011,20.57
202012,22.75
202101,33.09
202102,27.95
202103,19.4
202104,18.61
202105,16.76
202106,15.83
202107,18.24
202108,16.48
202109,23.14
202110,16.26
202111,27.19
202112,30.67